Word,Count
the,78245
distinction,798
between,3651
perception,9772
and,35276
cognition,867
frame,109
countless,6
debate,948
in,28594
philosophy,1927
cognitive,2105
science,1132
.,51225
but,3686
what,3780
",",63871
if,1890
anything,115
do,4289
this,13818
actually,244
amount,136
to,33769
?,2054
introductory,26
article,927
we,9427
summarize,54
recent,941
work,1506
on,9055
question,2194
first,2063
briefly,124
consider,1196
possibility,612
that,29932
a,27827
-,13941
border,34
should,1121
be,48742
eliminate,42
from,5209
our,3921
scientific,611
ontology,256
then,1512
introduce,329
critically,151
examine,935
five,184
positive,238
approach,1420
mark,106
–,955
term,1307
of,68126
phenomenology,1007
revisability,1
modularity,97
format,79
stimulus,594
dependence,139
commemorate,2
tragic,6
event,658
Super,1
Typhoon,1
Yolanda,1
(,6031
International,13
Name,1
:,4011
Haiyan,4
),6153
last,198
2013,53
local,125
leader,5
province,7
Leyte,1
Philippines,2
speculate,32
establish,301
Museum,7
2023,1
decade,96
later,162
with,7562
connotation,11
',6412
dark,46
tourism,1
one,4323
way,2981
look,1039
at,2832
speculative,40
inspire,106
establishment,9
through,915
Amy,6
Sodaro,1
’s,4406
memorial,6
museum,19
purpose,213
education,32
base,1137
memorialization,1
juxtapose,6
Paul,97
Morrow,1
philosophical,1506
object,6010
as,11048
possible,859
provocateur,1
repulsive,1
feeling,129
there,2748
linger,8
suspicion,11
whether,1189
exhibit,106
can,6345
really,227
flesh,34
out,1134
educational,8
therapeutic,11
reflection,259
or,5544
healing,4
crucial,219
address,498
will,2062
house,27
10,35
year,276
trauma,4
answer,656
I,11627
take,1407
insight,281
survivor,9
curator,5
Region,2
VIII,2
who,611
experience,9677
tragedy,7
proximate,16
landfall,1
aftermath,5
hand,465
notion,1117
vital,26
coinage,1
would,998
represent,1232
close,242
its,2539
response,778
thematise,1
into,1262
more,2139
coherent,101
discussion,692
see,2355
how,3395
space,1111
their,2703
communal,3
aspect,971
future,172
project,243
ABSTRACT,15
central,736
both,1978
James,143
early,628
psychology,904
his,2327
view,4891
recur,11
percept,165
concept,1585
evolve,58
remain,356
fundamental,460
thinking,239
throughout,103
career,27
he,1587
seek,223
come,487
grip,81
nature,1622
significance,213
chapter,1066
focus,883
initially,79
attempt,660
articulate,169
1885,1
"""",7708
Function,4
Cognition,40
highlight,218
key,416
problem,2288
which,6265
continue,118
return,59
include,911
famous,59
radical,208
empiricist,121
metaphysics,204
pure,129
around,265
turn,496
century,421
shall,256
find,717
grapple,7
insightfully,1
ambivalently,1
perceptual,7991
conceptual,1239
dimension,258
knowledge,2270
relation,1507
call,1189
it,9784
—,1555
follow,641
Franz,9
Brentano,70
philosopher,1293
direct,1262
thought,950
intentionality,306
generally,252
some,3159
have,9031
once,209
again,49
for,10057
pivotal,8
topic,345
while,1010
other,2634
certain,1107
account,3903
problematic,189
beyond,244
dispute,138
inquiry,99
domain,288
innovative,27
representation,1678
become,458
ubiquitous,33
neuroscience,240
paper,3480
status,279
mental,1410
entity,351
posit,171
explain,1607
so,1833
by,8527
similarity,253
sense,3497
datum,847
characteristic,239
argument,2916
offer,1042
each,767
hope,102
show,2261
caution,3
adoption,10
use,1924
warrant,139
moreover,219
pay,74
attention,971
less,308
might,755
emerge,232
•,16
coin,96
appear,716
elliptical,51
when,1594
an,7761
angle,66
’,381
round,63
stick,10
bent,12
partly,147
immerse,7
water,36
straight,12
oasis,1
exist,512
not,7908
bucket,1
two,2645
different,1776
temperature,30
all,1759
..,103
theory,5113
involve,1213
compromise,50
pragmatic,69
application,152
illustrate,129
development,412
Coombs,3
's,3410
original,226
version,743
purport,103
guide,195
investigator,27
scale,101
technique,84
subsequent,100
revision,45
logico,8
mathematical,93
statement,137
practical,155
recommendation,5
make,1938
still,294
apply,411
these,3403
discard,20
obtain,95
comprehensive,92
important,909
spite,19
shortcoming,60
they,4031
reveal,332
difference,773
attitude,246
test,278
form,1731
point,992
existence,509
general,700
practice,302
begin,350
study,1252
fashion,47
;,2658
everybody,6
nowadays,23
talk,184
about,4304
like,1166
distinguish,575
apt,33
regard,536
indication,16
stop,25
move,280
time,1084
before,237
abandon,89
old,126
habit,40
want,183
may,1338
after,498
something,603
doctrine,195
adopt,199
many,1094
lead,622
pre,192
war,20
England,4
definitive,34
principle,540
actualism,7
world,2759
compose,95
wholly,55
actual,176
factual,19
concreta,2
horse,10
abstracta,3
neigh,2
sum,35
set,492
thereof,15
plane,47
particular,1347
definite,16
existent,24
no,1370
substrata,2
potency,2
prime,41
matter,472
force,310
virtue,342
blur,33
indefiniteness,6
press,38
tendency,90
superstructure,11
unexampled,2
essence,56
disembodied,6
transcendental,170
act,429
ing,14
specify,175
far,573
either,460
simple,397
quale,145
belong,107
three,1050
primitive,119
category,398
compound,46
relational,404
think,1449
sufficient,197
necessary,393
whole,179
part,1264
merological,2
resemblance,84
comparison,105
locative,2
distance,200
direction,172
necessarily,162
physical,1178
geometry,140
least,526
analogous,72
mode,303
deployment,25
Factualism,7
here,877
rhyme,3
synonym,3
connote,4
very,617
dubious,12
young,22
Wittgenstein,329
fact,1229
Sachverhalten,2
nor,272
popular,169
New,74
York,24
environ,3
thing,1336
must,1046
active,174
though,405
quite,205
likely,135
most,1101
survey,156
over,587
past,161
twelve,10
four,232
section,513
deal,332
largely,162
propositionalizing,2
those,1117
type,677
externally,29
found,48
realism,1285
eschew,14
inner,149
Part,152
