Word,Frequency
property,14
feature,13
system,12
capacity,11
thermal,10
bearer,10
happen,10
threshold,10
vision,10
surface,10
visual,10
human,9
target,9
sensory,8
invariant,8
observer,8
line,8
improve,8
significantly,8
change,8
ability,7
explanation,6
certain,6
object,5
principally,5
constitute,5
proximal,5
pressure,5
stimulation,5
alternative,5
absence,5
organism,5
environment,5
input,5
I,4
design,4
attunement,4
philosopher,4
state,4
argue,4
confer,4
strong,4
adaptive,4
colour,4
reflectance,4
sense,4
identifie,4
information,4
distal,4
child,4
cognitive,4
development,4
color,4
philosophical,3
enable,3
physical,3
energy,3
33,3
use,3
stimulus,3
fluctuate,3
shape,3
long,2
able,2
exactly,2
voice,2
surrounding,2
person,2
order,2
reflection,2
tendency,2
introspection,2
psychological,2
dispose,2
extract,2
invariance,2
represent,2
internal,2
integration,2
isolate,2
receptor,2
neuron,2
referential,2
component,2
Searle,2
rightly,2
truth,2
condition,2
process,2
impact,2
luminance,2
spatial,2
auditory,2
source,2
instead,2
outlier,2
iterative,2
computation,2
identify,2
neuroimage,2
pain,2
implicate,2
significant,2
privacy,2
concern,2
perceptual,2
pattern,2
synchronous,2
instantiate,2
pre,2
specify,2
event,2
normal,2
lead,2
paper,2
new,2
refined,2
tension,2
quality,2
readily,2
distinctive,2
useful,2
function,2
angle,2
competently,1
perceptually,1
differentiate,1
nose,1
intrusion,1
high,1
crossmodal,1
relationship,1
skilled,1
perceiver,1
folk,1
neural,1
briefly,1
mental,1
appearance,1
near,1
fire,1
legal,1
spacemaking,1
sphere,1
life,1
mentally,1
distance,1
fine,1
detail,1
motion,1
ancestor,1
subtle,1
pass,1
opportunity,1
danger,1
biological,1
act,1
postulate,1
sample,1
size,1
necessary,1
epistatic,1
interaction,1
place,1
time,1
treat,1
early,1
selective,1
attention,1
reliably,1
likely,1
depth,1
cue,1
directly,1
matter,1
available,1
musical,1
training,1
ask,1
metrical,1
turkish,1
music,1
perceive,1
unity,1
indicate,1
infant,1
cortex,1
comparable,1
circuitry,1
different,1
nervous,1
electric,1
discharge,1
discriminate,1
touch,1
establish,1
200ms,1
100Hz,1
sinusoidal,1
low,1
perception,1
coarse,1
distinction,1
structure,1
effect,1
action,1
detection,1
experiment,1
presence,1
4,1
item,1
parallel,1
fiber,1
sequential,1
capable,1
accept,1
1,1
difference,1
spectral,1
composition,1
grant,1
identity,1
Anomaloscope,1
instrument,1
anomaly,1
geometrical,1
intruder,1
haptic,1
display,1
preserve,1
body,1
benefit,1
harm,1
theory,1
endure,1
work,1
affect,1
