Word,Frequency
perception,10
directly,10
material,10
object,10
presupposition,10
experience,4
line,3
i.e.,3
pictorial,3
certain,3
item,3
perceptual,2
text,2
actively,2
bring,2
thought,2
connect,2
content,1
e.g.,1
red,1
cold,1
beep,1
whistle,1
distinct,1
artwork,1
artist,1
oppose,1
viewpoint,1
regard,1
synesthesia,1
possible,1
argument,1
visual,1
discussion,1
aim,1
philosophical,1
source,1
epistemological,1
strategy,1
feature,1
environment,1
slant,1
hand,1
I,1
subjective,1
objective,1
meaning,1
phenomenology,1
attempt,1
structure,1
