Word,Frequency
I,126
like,120
thing,114
way,82
object,66
red,63
colour,56
different,49
visual,47
experience,39
view,38
look,32
close,31
sense,26
belief,26
perceptual,26
argue,25
light,24
paper,24
color,22
certain,21
tree,21
know,21
white,21
blue,21
condition,20
coin,20
particular,19
chapter,18
problem,18
subject,18
use,17
Travis,17
picture,16
example,16
world,16
relate,16
phenomenal,15
theory,14
play,14
knowledge,14
chip,14
judgment,14
actually,14
justification,14
perception,13
content,13
elliptical,12
represent,12
case,12
phenomenally,12
perceiver,12
role,12
question,12
distance,12
true,12
b,12
green,12
Sellars,11
appearance,11
argument,11
specific,11
event,11
John,11
disposition,11
appear,10
representational,10
dual,10
second,10
philosophy,10
fact,10
kind,10
term,10
position,9
explain,9
10,9
Wilfred,9
attack,9
sentence,9
Charles,9
talk,9
Isaac,9
wall,9
pink,9
size,9
idea,9
observer,9
circular,9
non,9
reason,9
face,9
dispose,9
classical,9
mean,8
present,8
sized,8
veridically,8
involve,8
round,8
pinkish,8
greenish,8
judge,8
great,8
perspectival,8
epistemic,8
accord,8
relevant,8
foundationalism,8
angle,7
ordinary,7
property,7
’,7
finally,7
small,7
comparative,7
penny,7
phenomenon,7
notion,7
tilt,7
apple,7
section,7
similar,7
place,7
patch,7
standard,7
normal,7
suggest,7
order,7
material,7
nature,7
require,7
ball,7
Gestalt,7
common,7
unique,7
relationship,7
semantic,6
sound,6
statement,6
new,6
principle,6
perceive,6
claim,6
person,6
concern,6
relation,6
conclude,6
blindness,6
plate,6
F,6
real,6
field,6
head,6
rarely,6
location,6
offer,6
start,6
phenomenalist,6
describe,6
wren,6
scene,6
iff,6
logical,5
begin,5
language,5
provide,5
verb,5
form,5
commit,5
bring,5
Matthew,5
McGrath,5
objectual,5
Thompson,5
Clarke,5
follow,5
discussion,5
Chisholm,5
sensation,5
debate,5
image,5
away,5
report,5
state,5
closely,5
slant,5
slanted,5
correspond,5
representation,5
tinge,5
respect,5
later,5
perspective,5
action,5
concept,5
etc,5
change,5
stimulation,5
group,5
need,5
View,5
type,5
unsophisticated,5
fulfil,5
participant,5
1,5
explanation,5
window,5
mundane,5
coloured,5
Sue,5
veridical,4
equal,4
equally,4
help,4
shed,4
phenomenological,4
particularity,4
generality,4
distinct,4
qualitatively,4
index,4
indexing,4
central,4
i.e.,4
appeal,4
unusual,4
mind,4
suppose,4
shape,4
table,4
motivation,4
epistemological,4
medieval,4
hold,4
variously,4
interpret,4
metaphysical,4
account,4
admire,4
propose,4
commonplace,4
slightly,4
