Word,Frequency
object,503
property,201
I,131
world,130
subject,126
directly,115
sense,105
perceive,86
perception,72
thing,72
argue,65
way,63
shape,62
view,61
mind,58
color,55
relation,54
perceptual,47
physical,47
environment,44
colour,44
external,42
claim,42
feature,42
state,41
ability,40
location,40
account,40
experience,40
particular,40
mental,39
different,38
difference,38
human,38
case,38
accord,37
visually,37
represent,35
intrinsic,34
quality,33
surface,33
suggest,31
independent,31
question,31
immediately,30
able,30
second,30
present,30
spatial,30
involve,29
require,28
think,27
appear,27
fact,27
space,27
event,27
kind,26
capacity,26
aesthetic,26
observer,25
know,25
smell,25
like,25
condition,25
nature,24
x,24
dependent,24
material,24
character,23
propose,23
use,22
body,22
analysis,22
idea,22
internal,22
affordance,22
theory,21
high,21
example,21
correlation,21
act,21
certain,21
phenomenal,20
determine,20
entity,20
influence,20
sensible,20
objective,20
change,20
thinking,20
people,20
affect,20
multiple,20
person,19
order,19
visual,19
agent,18
literally,18
argument,18
continuity,18
organism,18
motion,18
necessary,18
time,18
occlude,18
magnitude,18
aspect,17
role,17
item,17
sensory,17
mean,17
information,17
range,17
brightness,17
art,17
level,16
illusion,16
basic,16
system,16
distance,16
perspective,16
allow,16
stand,15
believe,15
instance,15
understand,15
interaction,15
possible,15
similarity,15
virtue,14
inner,14
term,14
vision,14
context,14
modality,14
effect,14
sound,14
action,14
speech,14
correctly,14
unity,13
form,13
belief,13
include,13
possibility,13
indirectly,13
everyday,13
scene,13
process,13
hand,13
correspond,13
depth,13
animal,13
memory,12
representation,12
basis,12
hold,12
relative,12
learn,12
place,12
enable,12
necessity,12
face,12
course,12
red,12
Smell,12
logarithmic,12
constitute,11
perceiver,11
private,11
mistaken,11
respect,11
improve,11
response,11
mode,11
position,11
touch,11
meaning,11
capacitism,10
employ,10
personal,10
underpin,10
suffice,10
illuminate,10
employment,10
reality,10
exist,10
genuinely,10
sight,10
conclusion,10
perspectival,10
privileged,10
impossibility,10
problem,10
subjective,10
secondary,10
veridically,10
distal,10
stimulus,10
cause,9
essential,9
category,9
size,9
imagine,9
thought,9
consciously,9
situation,9
distinguish,9
recognize,9
specific,9
measure,9
constancy,9
base,9
speak,9
distant,9
image,9
general,9
simple,9
constituent,8
clearly,8
p,8
existence,8
explain,8
outside,8
self,8
ordinarily,8
cognitive,8
paper,8
temporal,8
deny,8
ordinary,8
study,8
knowledge,8
relate,8
figure,8
function,8
concept,8
contain,8
causal,8
S,8
true,8
sensation,8
epistemic,8
conclude,8
variation,8
invariance,8
absence,8
instead,8
lead,8
distinction,8
usually,8
book,8
mechanism,8
evaluative,8
clarify,8
explore,8
complex,8
sensorimotor,8
bodily,8
categorical,8
relationalism,7
embody,7
actually,7
direct,7
normal,7
disorder,7
partly,7
taste,7
apparently,7
judgment,7
appearance,7
phenomenology,7
disjunctivist,7
gap,7
movement,7
matter,7
activity,7
hypothesis,7
structure,7
duration,7
causality,7
evidence,7
report,7
remembering,7
result,7
possess,7
good,7
behave,7
visualize,7
simply,7
intention,7
edible,7
link,7
provide,7
single,7
III,7
1,7
odour,7
entire,6
unoccluded,6
natural,6
subsequently,6
look,6
scientific,6
distinct,6
deeply,6
non,6
fundamentally,6
perceiving,6
data,6
phenomenon,6
causally,6
coherent,6
epistemically,6
intuition,6
dimensional,6
luminance,6
common,6
infant,6
important,6
issue,6
illusory,6
stage,6
ground,6
