Word,Frequency
object,330
I,187
experience,117
thing,77
case,64
way,62
hear,61
color,55
argue,55
picture,54
feel,53
view,50
state,50
subject,49
perception,47
visual,47
face,46
red,42
surface,42
world,42
fact,39
like,39
shape,39
p,37
claim,37
know,36
problem,34
book,33
perceptual,31
certain,31
condition,31
sense,30
example,28
colour,28
involve,28
occur,27
vision,26
person,26
feature,25
non,25
entity,25
hearing,24
mental,24
absence,24
space,23
different,23
account,23
possible,22
light,22
literally,22
present,21
e.g.,21
phenomenon,21
shall,20
think,20
relation,20
new,20
noticing,20
location,20
ability,20
time,19
come,19
common,19
mind,18
look,18
dagger,18
theory,17
determinate,17
reason,17
form,17
edible,17
recent,16
talk,16
taste,16
argument,16
mean,16
people,16
action,16
blue,16
unlike,16
James,16
appear,15
human,15
perceive,15
enable,15
depend,15
seeing,15
represent,15
physical,15
black,15
allow,14
simultaneously,14
entail,14
right,14
apple,14
number,14
hen,14
require,14
writing,14
directly,14
study,14
model,14
angry,14
possibility,13
mirror,13
content,13
understand,13
basis,13
use,13
provide,13
reference,13
assume,13
independently,13
difficult,13
believe,13
influence,13
spatial,13
appearance,12
fail,12
false,12
$,12
p$,12
concept,12
ground,12
Monkeys,12
Philosophy,12
contrast,12
good,12
accord,12
virtue,12
justification,12
ordinary,12
result,12
N,12
work,12
match,12
Macbeth,12
aspect,12
eye,11
place,11
material,11
star,11
paper,11
real,11
instance,11
standard,11
property,11
base,11
phenomenal,11
representational,11
idea,11
difference,11
touching,11
pictorial,11
binocular,10
object(s,10
left,10
particular,10
clearly,10
kind,10
include,10
Sellars,10
capacity,10
bring,10
offer,10
thesis,10
constitute,10
mere,10
point,10
John,10
tree,10
flat,10
opaque,10
philosophical,10
puzzle,10
cognition,10
value,10
meaning,10
touch,10
i.e.,10
S,10
position,9
imagine,9
contour,9
actually,9
cat,9
previously,9
long,9
review,9
explanation,9
determine,9
sight,9
visually,9
emotion,9
relationship,9
green,9
second,9
epistemic,9
important,9
agree,9
try,9
scene,9
constancy,9
sighted,9
system,9
animal,9
discussion,8
deny,8
