Word,Frequency
activity,6
object,6
like,3
movie,3
perceptual,3
person,3
look,2
thing,2
trick,2
I,2
action,2
touch,2
agent,2
period,2
desire,1
etc,1
Jones,1
frantic,1
shuffling,1
able,1
perceive,1
world,1
pine,1
tree,1
represent,1
aristotelian,1
patrician,1
sun,1
sink,1
beneath,1
perform,1
fourteen,1
mirror,1
synaesthete,1
video,1
depict,1
event,1
animal,1
engage,1
purpose,1
finding,1
unauthorized,1
downloading,1
online,1
content,1
case,1
performance,1
try,1
EEG,1
record,1
participant,1
clip,1
particular,1
material,1
view,1
kind,1
essay,1
present,1
puzzle,1
arise,1
apparent,1
truth,1
connection,1
notion,1
enable,1
offer,1
draw,1
aim,1
music,1
art,1
medium,1
violence,1
harmful,1
phenomenology,1
act,1
demonstrate,1
closely,1
Better,1
behave,1
adult,1
n=178,1
3,1
Michotte,1
