Word,Frequency
I,37
eye,15
face,12
stand,10
window,8
look,8
meet,8
hold,7
Harry,7
turn,6
world,5
deep,5
head,5
moment,5
child,4
figure,4
body,4
work,4
car,4
right,4
feel,4
smile,4
open,4
fix,4
mean,4
away,4
drop,4
notice,4
avert,3
distant,3
gesture,3
film,3
female,3
improper,3
brown,3
construct,3
read,3
human,3
focus,3
far,3
floor,3
year,3
want,3
let,3
fall,3
water,3
like,3
direct,3
come,3
blue,3
steadily,3
father,3
follow,3
watch,3
return,3
frame,3
Listener,3
think,2
expression,2
navel,2
guru,2
view,2
objective,2
subjective,2
appear,2
hand,2
calm,2
long,2
able,2
ability,2
realize,2
afternoon,2
linger,2
draw,2
Highway,2
park,2
abstractedly,2
reflection,2
bow,2
space,2
picture,2
darkness,2
leave,2
silent,2
assess,2
fill,2
drift,2
distance,2
run,2
time,2
single,2
abruptly,2
level,2
Miss,2
close,2
know,2
painting,2
suppose,2
sea,2
rock,2
warm,2
remain,2
stare,2
chair,2
magazine,2
scene,2
room,2
hard,2
man,2
lock,2
rake,2
door,2
star,2
cloud,2
bring,2
sit,2
house,2
light,2
begin,2
hesitate,2
office,2
Father,2
Augustine,2
lower,2
half,2
commit,2
comfort,2
avoid,2
little,2
glass,2
track,2
social,2
camera,2
recognition,2
fixate,2
Louis,2
mumble,2
Dash,2
hide,1
watchful,1
state,1
palace,1
Istanbul,1
transitional,1
strategic,1
slum,1
medium,1
service,1
science,1
set,1
botanical,1
tropical,1
latitude,1
task,1
tier,1
unseee,1
internal,1
pure,1
presence,1
consequently,1
Palace,1
upturned,1
accessible,1
son,1
enact,1
reciprocal,1
Christ,1
embrace,1
foolish,1
grin,1
unfocused,1
signify,1
inebriation,1
disheveled,1
foot,1
deny,1
conceal,1
garment,1
correspond,1
Left,1
reach,1
aisle,1
passive,1
wandering,1
initiate,1
inscribing,1
subjectivity,1
real,1
chart,1
Renzo,1
Renzi,1
argue,1
mark,1
continuity,1
egalitarian,1
treat,1
decontextualise,1
paint,1
line,1
viewer,1
clearly,1
double,1
thereof,1
Antonioni,1
equate,1
measurability,1
dissolution,1
distinction,1
realism,1
modernism,1
drama,1
allow,1
transform,1
inherently,1
artificial,1
new,1
essential,1
interest,1
fiber,1
protect,1
grabby,1
clueless,1
privileged,1
issue,1
directly,1
affect,1
distil,1
puzzle,1
composition,1
lead,1
toe,1
invite,1
stone,1
especially,1
critical,1
hunt,1
companion,1
domestication,1
amplify,1
unlock,1
alexei,1
Sid,1
fondly,1
lick,1
wet,1
spot,1
bestow,1
