Word,Frequency
I,4297
like,1972
look,610
know,462
good,444
think,362
way,310
right,299
oh,291
forward,289
people,256
come,243
time,237
thing,224
let,222
want,219
eye,212
great,196
yeah,195
face,185
man,182
okay,168
year,164
hey,154
guy,151
tell,151
mean,150
new,146
little,142
find,141
start,125
need,124
thank,120
work,118
try,115
feel,110
away,109
turn,108
bad,107
day,106
house,103
old,101
pretty,100
different,98
close,98
place,94
room,94
lot,93
woman,93
help,93
talk,92
big,90
stop,86
long,86
happen,85
yes,84
beautiful,83
window,83
kind,82
sorry,80
use,79
today,78
car,78
ask,77
head,76
young,76
life,75
leave,75
kid,74
stand,72
boy,71
maybe,71
hand,70
book,70
love,70
child,67
God,67
world,66
real,65
sure,65
hard,65
girl,65
nice,63
point,62
home,62
uh,62
change,61
actually,60
second,59
black,57
number,56
hear,56
sit,56
fact,55
problem,55
wrong,55
week,55
bit,55
picture,53
night,53
run,53
fine,52
outside,51
mother,51
lose,51
watch,51
hold,50
person,50
job,50
door,49
smile,49
begin,48
inside,48
shoulder,48
mirror,48
far,47
friend,47
street,46
family,46
remember,46
hair,46
word,45
white,45
hope,45
past,45
exactly,45
small,44
company,44
open,44
ahead,43
question,43
read,42
happy,42
morning,42
moment,42
baby,42
case,41
idea,41
paper,41
care,41
sound,41
play,41
walk,40
light,40
simply,39
money,39
wow,39
everybody,38
future,38
minute,38
instead,38
state,38
large,37
month,37
People,37
bathroom,37
end,37
set,37
wait,37
step,36
live,36
dead,36
shit,36
water,36
answer,35
team,35
Obama,35
easy,35
believe,35
probably,35
dark,35
office,35
pink,35
ok,35
continue,34
line,34
father,34
s,34
movie,34
wonder,34
early,33
student,33
check,33
especially,33
matter,33
floor,33
daughter,33
spend,33
meet,33
straight,32
ago,32
hi,32
New,32
blue,32
hour,32
decide,31
school,31
skin,31
finally,31
phone,31
bright,31
red,30
story,30
cut,30
interesting,30
list,30
issue,30
later,30
country,30
bring,30
brother,30
clean,30
sign,30
cool,30
buy,30
tired,30
course,30
foot,30
hello,30
table,29
information,29
party,29
game,29
wear,29
post,29
whoa,29
video,29
photo,29
catch,29
huh,29
business,28
law,28
example,28
history,28
reason,28
certainly,28
human,28
create,28
president,28
datum,28
tree,28
Romney,28
kill,28
stuff,28
drive,28
