Word,Frequency
I,7611
like,651
want,632
come,558
look,480
people,465
know,454
let,419
think,411
time,405
right,377
good,377
thing,319
way,298
year,289
man,247
yeah,243
oh,222
happen,218
eye,203
work,202
day,190
guy,177
need,175
little,173
face,172
mean,171
supra,170
movie,163
okay,163
great,162
tell,162
lot,153
wait,153
world,147
note,139
new,139
child,137
hear,136
woman,135
love,135
change,134
yes,131
try,130
big,129
hey,129
thank,126
use,125
today,122
kid,120
week,116
play,116
long,113
talk,112
later,107
find,107
kind,106
far,106
picture,106
life,106
light,105
start,105
maybe,105
night,100
place,100
ask,100
actually,98
feel,97
home,96
help,96
God,96
house,95
problem,95
turn,94
morning,94
point,92
stand,92
friend,92
film,92
leave,91
watch,89
car,89
page,87
sure,87
example,86
old,85
able,84
live,83
believe,82
hard,82
sign,82
hand,81
person,81
walk,80
head,80
different,79
d,79
away,78
bad,78
number,77
read,77
room,77
nice,77
girl,75
hope,74
boy,73
story,72
stop,72
open,71
check,71
run,71
school,70
ago,70
black,70
video,70
post,70
student,69
expect,69
soon,68
book,67
http,67
window,66
father,66
image,65
country,65
second,65
doctor,65
table,63
interesting,63
mother,63
chance,63
difference,62
family,62
reason,62
close,62
uh,62
game,61
young,60
happy,60
white,59
figure,59
tomorrow,59
group,58
early,58
case,58
state,57
end,57
list,57
fit,56
high,56
course,56
grow,56
real,56
report,55
inside,55
future,55
dark,55
probably,55
month,54
begin,54
care,54
line,54
money,54
na,54
article,53
job,53
easy,53
glad,53
wan,53
possible,52
write,52
remember,52
hold,52
outside,52
result,51
question,51
wife,51
wrong,51
small,50
moment,50
past,50
continue,50
comment,49
New,49
mind,49
sit,49
Obama,49
tv,49
idea,48
clearly,48
forward,48
fact,48
sorry,48
smile,48
business,47
photo,47
kill,46
understand,46
police,46
Baude,46
sort,46
action,45
opportunity,45
body,45
level,45
interest,45
american,45
fight,45
door,45
break,45
company,45
pretty,45
drive,45
ok,44
law,44
view,44
lose,44
beautiful,44
miss,44
information,43
follow,43
increase,43
street,43
fall,43
fine,43
water,43
exactly,43
baby,43
site,42
cause,42
die,42
hour,42
value,42
John,42
set,42
bring,42
bit,42
finally,41
learn,41
city,41
office,41
step,41
Part,41
issue,41
town,41
tonight,41
Mr,41
include,40
support,40
eat,40
plan,40
percent,39
news,39
foot,39
parent,39
system,38
area,38
dead,38
act,38
People,38
son,38
word,37
study,37
stay,37
remain,37
test,37
PDF,37
everybody,37
large,36
major,36
patient,36
allow,36
potential,36
ahead,36
practice,36
government,36
team,36
evidence,36
minute,36
pink,36
public,35
television,35
decide,35
piece,35
matter,35
rest,35
cover,35
pull,35
low,34
especially,34
experience,34
human,34
lead,34
character,34
age,34
daughter,34
cut,34
Romney,34
President,34
pay,34
Good,34
hi,34
medium,33
clear,33
couple,33
Sachs,33
star,33
return,33
shit,33
wear,33
rise,32
dog,32
surprised,32
fail,32
true,32
half,32
screen,32
hate,32
president,32
cry,32
corner,32
fire,31
player,31
meet,31
Bill,31
trouble,31
party,31
York,31
anybody,31
wonderful,31
Figure,30
program,30
realize,30
war,30
red,30
review,30
community,30
control,30
George,30
raise,30
event,30
wish,30
deal,30
appear,30
gun,30
plane,30
fly,30
t,30
win,30
interview,30
guess,30
ah,30
datum,29
term,29
situation,29
likely,29
tree,29
lie,29
visit,29
excited,29
speak,29
power,28
box,28
ground,28
candidate,28
history,28
ai,28
phone,28
wall,28
See,28
sense,28
color,28
City,28
link,28
bathroom,28
difficult,27
deep,27
dance,27
Americans,27
effect,27
America,27
card,27
create,27
discussion,27
answer,27
original,27
glass,27
somebody,27
heart,27
brother,27
road,27
s,27
fast,27
million,26
spot,26
building,26
form,26
political,26
base,26
process,26
important,26
member,26
blood,26
progress,26
store,26
mention,26
stuff,26
cool,26
yesterday,26
train,26
hello,26
ya,26
sir,26
plant,25
fan,25
field,25
social,25
Austin,25
explain,25
claim,25
shoot,25
single,25
James,25
certain,25
amazing,25
anymore,25
near,25
huge,25
truth,25
market,25
huh,25
bed,25
mom,25
bear,25
Christmas,24
statement,24
simply,24
teacher,24
similar,24
sky,24
mirror,24
personal,24
fun,24
attack,24
forget,24
benefit,24
reality,24
United,24
death,24
scene,24
sister,24
spend,24
pick,24
worry,24
service,23
health,23
shall,23
education,23
challenge,23
pain,23
wave,23
blue,23
shock,23
land,23
art,23
Mary,23
text,23
court,23
detail,23
instead,23
agree,23
buy,23
pass,23
weekend,23
floor,23
laugh,23
suppose,23
Man,23
hang,23
listen,23
significant,22
analysis,22
record,22
model,22
type,22
religious,22
park,22
space,22
sun,22
movement,22
date,22
recent,22
blog,22
drop,22
David,22
late,22
Jim,22
college,22
add,22
m,22
touch,22
World,22
Republicans,22
mistake,22
funny,22
hurt,22
fear,22
enjoy,22
horse,22
