Word,Frequency
I,136
owl,37
hot,30
right,28
find,26
good,23
like,22
sweet,19
look,17
spot,16
hit,16
bright,15
team,15
leave,14
bar,13
start,13
come,13
yeah,12
day,11
help,11
hold,11
list,11
pick,11
point,11
need,10
use,10
blind,10
year,10
think,10
place,10
little,10
know,10
area,9
new,9
open,9
way,8
include,8
priority,8
man,8
small,8
check,8
fill,8
week,8
house,8
earn,8
tough,8
miss,8
parking,8
soft,8
white,7
turn,7
stand,7
run,7
easy,7
perfect,7
starting,7
training,7
great,7
land,7
time,7
favorite,7
soon,7
head,7
sit,7
try,7
hear,7
return,7
indicate,6
locate,6
second,6
group,6
woman,6
dark,6
warm,6
pretty,6
near,6
local,6
body,6
maybe,6
tell,6
high,6
probably,6
car,6
people,6
sure,6
oh,6
playoff,6
mean,6
industrial,5
exact,5
early,5
past,5
step,5
fever,5
problem,5
company,5
street,5
mark,5
thing,5
money,5
number,5
wait,5
stay,5
simply,5
weekend,5
far,5
floor,5
old,5
pink,5
corner,5
let,5
shoot,5
course,5
walk,5
lot,5
nice,5
player,5
add,4
municipal,4
city,4
site,4
wife,4
actually,4
ground,4
fine,4
want,4
occupy,4
business,4
camp,4
possible,4
New,4
roster,4
party,4
away,4
friend,4
water,4
certain,4
today,4
rotation,4
end,4
hell,4
boy,4
change,4
price,4
play,4
work,4
hope,4
safe,4
eye,4
rise,4
south,4
big,4
home,4
rough,4
trouble,4
reach,4
young,4
blue,4
light,4
quickly,4
cover,4
push,4
mile,4
red,4
skin,4
dead,4
nearby,4
weak,4
ahead,4
plant,4
bathroom,4
tight,4
line,4
die,4
fade,4
landing,4
couple,4
specie,4
population,4
million,4
lose,4
opportunity,4
assay,3
pad,3
disease,3
market,3
fire,3
continue,3
remediate,3
page,3
matter,3
country,3
large,3
typhus,3
field,3
happen,3
family,3
real,3
cast,3
test,3
write,3
star,3
particular,3
vehicle,3
minute,3
later,3
accord,3
feel,3
compare,3
share,3
tender,3
close,3
original,3
prime,3
hole,3
radio,3
directly,3
different,3
create,3
plane,3
night,3
Florida,3
knowledge,3
battle,3
fifth,3
tv,3
Romney,3
heart,3
pack,3
David,3
bald,3
access,3
journal,3
forward,3
forget,3
frozen,3
chase,3
claim,3
kind,3
story,3
hair,3
draw,3
wall,3
cut,3
accident,3
search,3
fly,3
agent,3
chance,3
gray,3
kill,3
student,3
sore,3
smooth,3
tonight,3
drop,3
identify,3
office,3
vie,3
sign,3
restaurant,3
arm,3
road,3
life,3
late,3
overnight,3
face,3
kitchen,3
love,3
forest,3
boot,3
begin,3
God,3
low,3
sunny,3
lip,3
potato,3
job,3
cause,3
secure,3
learn,3
record,3
ago,3
ask,3
explain,3
helicopter,3
power,3
northern,3
brown,3
habitat,3
fellow,3
picnic,3
House,3
Thursday,3
July,3
park,3
contend,3
key,3
downtown,3
menu,3
event,3
San,3
month,3
general,3
care,3
economy,3
yes,3
relationship,3
hey,3
thank,3
clone,3
hour,2
purple,2
Fluorescence,2
yield,2
Pacific,2
whiting,2
prey,2
morning,2
focus,2
remain,2
exceed,2
billion,2
Report,2
address,2
nearly,2
addition,2
economic,2
industry,2
fix,2
window,2
require,2
patient,2
SFGR,2
rickettsiae,2
TGR,2
Rocky,2
Mountain,2
States,2
originalism,2
teenager,2
spend,2
vacation,2
rear,2
provide,2
demonstrate,2
idea,2
shy,2
watch,2
maintain,2
art,2
desk,2
opening,2
West,2
x,2
account,2
elect,2
consider,2
guard,2
national,2
game,2
Taipei,2
explosion,2
lean,2
Boston,2
rest,2
faculty,2
telephone,2
pole,2
election,2
control,2
gather,2
bus,2
content,2
hard,2
count,2
American,2
major,2
bear,2
foot,2
article,2
long,2
attack,2
sort,2
survivor,2
beautiful,2
Lionsgate,2
trailer,2
review,2
fact,2
artist,2
Bunny,2
table,2
system,2
example,2
World,2
summer,2
appear,2
strong,2
candidate,2
gas,2
Judge,2
mother,2
pussy,2
wet,2
freeze,2
broken,2
vessel,2
color,2
station,2
break,2
news,2
grass,2
ice,2
thin,2
stretch,2
seat,2
guarantee,2
approach,2
Sea,2
Lloyd,2
force,2
beauty,2
yard,2
pleasant,2
stone,2
peak,2
EXT,2
flat,2
heat,2
inch,2
pressure,2
Austin,2
colored,2
gold,2
contract,2
plate,2
doubt,2
despite,2
cross,2
clothe,2
fishing,2
green,2
rock,2
visitor,2
usual,2
bird,2
door,2
detail,2
pass,2
build,2
bottle,2
regular,2
bed,2
sky,2
ink,2
outside,2
avoid,2
guy,2
wear,2
lift,2
Garba,2
escape,2
person,2
closet,2
legend,2
shovel,2
cousin,2
raw,2
forehead,2
fall,2
pay,2
enormous,2
effect,2
voice,2
Liam,2
Tilbey,2
disappear,2
knee,2
view,2
distance,2
eventually,2
stop,2
catch,2
midday,2
herd,2
seek,2
hiding,2
sufficient,2
pin,2
level,2
Shannon,2
deep,2
single,2
sun,2
report,2
enemy,2
black,2
reveal,2
expose,2
image,2
sense,2
stroller,2
doom,2
usually,2
defense,2
potential,2
choose,2
grandmother,2
strategic,2
competition,2
film,2
international,2
reserve,2
conspicuous,2
doctor,2
guest,2
lady,2
league,2
translate,2
defensive,2
tackle,2
movie,2
Santa,2
fail,2
goat,2
shot,2
mix,2
gain,2
gathering,2
League,2
Anthony,2
Sunday,2
analyst,2
technique,2
iron,2
set,2
Golf,2
north,2
half,2
globe,2
charge,2
able,2
remove,2
recover,2
likely,2
threat,2
monitor,2
track,2
enable,2
hike,2
trail,2
fairly,2
otter,2
currently,2
baseball,2
writer,2
wine,2
Janet,2
answer,2
belong,2
Bob,2
executive,2
video,2
girl,2
dangerous,2
Finding,2
Nemo,2
box,2
bearded,2
Eastern,2
race,2
fund,2
casual,2
Navy,2
County,2
elf,2
Ryan,2
compete,2
food,2
state,2
neighborhood,2
Steve,2
rate,2
slick,2
Cubs,2
Estes,2
future,2
political,2
leadoff,2
Duvall,2
listener,2
age,2
chart,2
sell,2
Center,2
social,2
Indianapolis,2
ship,2
american,2
Morgan,2
barricade,2
Seattle,2
United,2
child,2
egg,2
dining,2
scene,2
crowd,2
neighbor,2
surf,2
City,2
University,2
size,2
suspicious,2
ocean,2
base,2
technology,2
undoubtedly,2
continent,2
submarine,2
police,2
deserve,2
Front,2
unlikely,2
sorry,2
Keith,2
neck,2
heel,2
Nov,2
website,2
global,2
Korea,2
gf,2
incubate,1
Diagnostics,1
resistance,1
leaf,1
soil,1
nematode,1
rockfishe,1
flatfish,1
NMFS,1
Monterey,1
Bay,1
octopus,1
squid,1
rockfish,1
plainfin,1
midshipman,1
croaker,1
detect,1
region,1
Kaliningrad,1
Klaipeda,1
Liepaja,1
Tallinn,1
map,1
Denmark,1
Finland,1
Germany,1
recommend,1
ECU,1
phase,1
environmental,1
audit,1
livestock,1
runoff,1
Russia,1
accomplish,1
dwell,1
Next,1
Pierpont,1
repeat,1
notice,1
awake,1
lover,1
cavity,1
crevice,1
Tousignant,1
dhakil,1
Teenek,1
pit,1
Woodhenge,1
enroll,1
application,1
fee,1
presentation,1
additionally,1
exposure,1
rickettsiose,1
tickborne,1
rickettsial,1
ehrlichiose,1
performance,1
Africans,1
Sharpeville,1
civil,1
court,1
employee,1
stress,1
theory,1
heaven,1
sovereign,1
globalized,1
consumption,1
youth,1
Oberoi,1
specialty,1
refurbishing,1
undervalued,1
property,1
divorce,1
authority,1
scatter,1
statistical,1
analysis,1
perform,1
visit,1
numerous,1
package,1
harassment,1
suit,1
action,1
Nicky,1
differently,1
middle,1
diana,1
monkey,1
alarm,1
