Word,Frequency
I,186
eye,35
like,31
face,31
look,25
stand,21
window,19
sit,19
stop,16
man,15
open,14
hand,12
right,11
know,11
turn,10
wall,9
people,9
ahead,9
find,8
head,8
away,8
want,8
feel,8
talk,8
smile,7
time,7
try,7
straight,7
come,7
bed,7
ask,6
hard,6
walk,6
long,6
ceiling,6
thing,6
room,6
black,6
day,6
car,6
mirror,6
blank,6
mouth,6
body,5
blankly,5
cry,5
happen,5
way,5
wait,5
night,5
trail,5
book,5
dark,5
moment,5
ring,5
rise,5
hair,5
think,5
camera,5
disbelief,4
decisis,4
floor,4
inside,4
nod,4
door,4
little,4
tell,4
bag,4
Hannah,4
note,4
woman,4
Bach,4
knee,4
green,4
stare,4
Harry,4
city,3
place,3
flutter,3
life,3
ground,3
finally,3
yellow,3
screen,3
simply,3
bus,3
catch,3
lot,3
sky,3
star,3
ear,3
year,3
People,3
actually,3
silence,3
listen,3
mean,3
point,3
darkness,3
distance,3
forehead,3
crack,3
lie,3
light,3
small,3
big,3
pink,3
road,3
neck,3
cross,3
cup,3
secret,3
Amy,3
leave,3
cold,3
wide,3
soft,3
space,3
Lillian,3
kid,3
chair,3
strange,3
street,3
Look,3
wonder,3
forward,3
desk,3
Hunter,3
main,3
line,3
fall,3
Jim,3
smoke,3
thought,3
watch,3
beautiful,3
dead,3
mother,3
lock,3
water,3
lean,3
zombie,3
foot,3
Emily,3
army,3
end,3
miss,3
shape,3
vacant,3
Bob,3
oh,3
Listener,3
directly,3
glass,3
notice,3
couple,3
Foreman,3
Christmas,2
beneath,2
astonishment,2
mesmerize,2
form,2
close,2
doctrine,2
practice,2
current,2
matter,2
post,2
change,2
executive,2
slide,2
question,2
kill,2
alien,2
clock,2
beach,2
freeze,2
fish,2
machine,2
tree,2
City,2
thoughtfully,2
gather,2
hell,2
huge,2
eat,2
coffee,2
pound,2
intently,2
hot,2
work,2
photograph,2
sink,2
touch,2
answer,2
Zlotsky,2
silently,2
Clare,2
s,2
Frank,2
pretty,2
mix,2
sea,2
cover,2
help,2
second,2
fire,2
use,2
stick,2
blood,2
message,2
marry,2
Paula,2
gas,2
station,2
dream,2
minute,2
rush,2
fix,2
state,2
Pandora,2
blink,2
Guard,2
hold,2
phone,2
drop,2
break,2
WIDEN,2
television,2
okay,2
Neil,2
AUSTIN,2
table,2
Katy,2
Raab,2
maybe,2
steadily,2
stance,2
degree,2
hear,2
piece,2
paper,2
Albion,2
Mama,2
sleep,2
Papa,2
velvet,2
outward,2
class,2
Oldham,2
gaze,2
glance,2
cigarette,2
Narrator,2
blue,2
good,2
white,2
Jamie,2
bad,2
kitchen,2
kite,2
die,2
helplessly,2
step,2
sister,2
pause,2
tiny,2
magician,2
leg,2
box,2
wrong,2
red,2
tongue,2
cut,2
anymore,2
reach,2
bare,2
New,2
building,2
pocket,2
gun,2
Nacho,2
mole,2
finger,2
forest,2
lap,2
shrug,2
level,2
contest,2
card,2
voice,2
arm,2
reflection,2
rim,2
shame,2
speak,2
Miss,2
believe,2
shadow,2
ball,2
letter,2
rest,2
fence,2
breast,2
horror,2
Black,2
Robe,2
surprised,2
great,2
sun,2
Basha,2
Riley,2
Samantha,2
crazy,2
direction,2
power,2
Father,2
thousand,2
Kali,2
angrily,2
morning,2
Maggot,2
panther,2
backward,2
dress,2
clothe,2
son,2
fine,2
chance,2
boy,2
baby,2
Lake,2
range,2
job,2
intense,2
psychopath,2
fixate,2
suddenly,2
Javi,2
deeply,2
Kelsey,2
Seth,2
Ali,2
George,2
unblinking,2
unemotional,2
Sometimes,2
scratch,2
garden,2
direct,2
pull,2
Louis,2
throat,2
Wallace,2
Jews,1
celebrate,1
tower,1
isolated,1
cliff,1
Dante,1
Virgil,1
coral,1
fox,1
disable,1
March,1
masculine,1
pursuit,1
beggar,1
frail,1
slightly,1
upwards,1
play,1
noticeably,1
previously,1
spend,1
brick,1
thee,1
Chaucer,1
contribute,1
case,1
tomorrow,1
exist,1
binding,1
Baude,1
Sachs,1
object,1
domesticating,1
validate,1
ex,1
canon,1
construction,1
legislative,1
history,1
original,1
meaning,1
court,1
treat,1
bind,1
respect,1
pure,1
hatred,1
counselor,1
tap,1
gesture,1
spellbound,1
figure,1
lay,1
Bigfoot,1
Us,1
regularly,1
grasp,1
expanse,1
seafood,1
rum,1
hiccup,1
Bengals,1
important,1
consecutive,1
game,1
blonde,1
hang,1
tank,1
crowded,1
buy,1
brilliant,1
product,1
puzzlement,1
patio,1
exchange,1
thirty,1
primary,1
evidence,1
London,1
Obama,1
horrified,1
generally,1
gawper,1
verge,1
rude,1
Rwanda,1
coloured,1
gem,1
cruise,1
wholefood,1
sale,1
outlet,1
sack,1
near,1
Paine,1
He,1
interested,1
guy,1
tom,1
Flower,1
bass,1
stage,1
hover,1
float,1
wheelchair,1
plus,1
classical,1
FM,1
radio,1
Stare,1
Drink,1
gin,1
Him,1
Duboff,1
colleague,1
Henky,1
wear,1
jean,1
Annie,1
