Word,Frequency
point,241
I,209
people,54
world,51
way,48
different,43
change,39
think,38
view,38
come,37
time,31
good,30
like,30
comment,28
share,28
law,25
long,25
fact,24
political,24
use,23
hold,23
express,23
new,22
issue,22
support,21
student,21
know,21
present,20
provide,20
program,20
right,20
great,20
allow,19
social,19
government,19
work,18
life,18
news,18
look,18
need,18
offer,18
video,17
reflect,17
child,17
respect,17
base,17
public,16
group,16
page,16
economic,16
personal,16
subject,16
result,15
teacher,15
process,15
regard,15
important,14
liberal,14
far,14
clear,14
state,14
open,14
common,14
follow,14
city,14
term,14
information,13
find,13
accord,13
mean,13
enjoy,13
current,12
human,12
practice,12
policy,12
light,12
tv,12
oppose,12
legal,12
matter,12
ground,12
traditional,12
post,12
example,11
lead,11
development,11
context,11
question,11
content,11
opportunity,11
control,11
religious,11
alternative,11
day,11
president,11
Hart,11
man,11
audience,11
year,11
represent,10
country,10
simply,10
high,10
place,10
education,10
require,10
early,10
person,10
thing,10
necessarily,10
event,10
perspective,10
particular,10
problem,10
judge,10
begin,10
film,10
lot,10
mirror,10
block,10
kind,10
want,10
mind,9
knowledge,9
similar,9
parent,9
consistent,9
understand,9
differ,9
clearly,9
national,9
foreign,9
include,9
reader,9
cause,9
opinion,9
internal,9
recent,9
article,9
conservative,9
read,9
hear,9
small,9
spectacular,9
thank,9
start,9
America,9
remain,9
narrow,9
million,9
society,8
experience,8
figure,8
learning,8
tend,8
especially,8
role,8
generally,8
company,8
woman,8
value,8
influence,8
study,8
rule,8
live,8
end,8
ask,8
individual,8
check,8
decision,8
accept,8
account,8
interest,8
stand,8
correct,8
order,8
area,8
form,8
history,8
research,8
force,8
sure,8
help,8
family,8
write,8
field,8
continue,8
true,8
tell,8
sort,8
editorial,8
talk,8
today,8
ocean,8
home,8
try,7
military,7
professional,7
create,7
discussion,7
God,7
plan,7
differently,7
little,7
grow,7
John,7
action,7
reason,7
case,7
member,7
collection,7
story,7
choose,7
extreme,7
discipline,7
attitude,7
News,7
turn,7
hard,7
expansive,7
note,7
Americans,7
unique,7
conflict,7
China,7
race,7
charge,7
agree,7
outside,7
Court,7
consider,7
spend,7
appear,7
rest,7
week,7
away,7
abortion,7
possible,7
park,7
rear,7
hour,7
somebody,7
instead,6
analysis,6
teaching,6
highly,6
critical,6
affect,6
general,6
health,6
system,6
option,6
medium,6
school,6
argue,6
exist,6
participant,6
idea,6
Islam,6
wish,6
aid,6
imply,6
global,6
response,6
negative,6
chinese,6
large,6
administration,6
international,6
art,6
hand,6
single,6
modern,6
party,6
expand,6
approach,6
effect,6
citizen,6
report,6
datum,6
theory,6
debate,6
Khitan,6
perception,6
official,6
propose,6
number,6
american,6
widely,6
listen,6
activity,6
belief,6
faculty,6
range,6
image,6
justice,6
select,6
community,6
difference,6
sex,6
rise,6
angle,6
researcher,6
inside,6
let,6
feature,6
Israel,6
house,6
feminist,6
course,6
Obama,6
blog,6
eye,6
window,6
disappear,6
fight,6
audio,6
fine,5
nature,5
step,5
add,5
picture,5
conventional,5
available,5
love,5
evidence,5
actually,5
balanced,5
college,5
run,5
special,5
enter,5
explain,5
disagree,5
fade,5
standard,5
separate,5
set,5
author,5
practical,5
learn,5
writer,5
Bush,5
National,5
past,5
prevail,5
depend,5
condition,5
model,5
culture,5
message,5
bring,5
scholar,5
popular,5
largely,5
war,5
night,5
surface,5
Sachs,5
consensus,5
court,5
mention,5
economy,5
incorrect,5
necessary,5
deal,5
shift,5
replace,5
wrong,5
market,5
reality,5
pay,5
white,5
speech,5
United,5
States,5
Europe,5
able,5
attack,5
region,5
project,5
corporal,5
punishment,5
viable,5
modify,5
subscribe,5
painting,5
space,5
limited,5
probably,5
despite,5
panoramic,5
entire,5
section,5
strictly,5
Romney,5
situation,5
leave,5
decide,5
air,5
minority,5
online,5
lake,5
stay,5
death,5
care,5
property,5
color,5
opposite,5
ad,5
month,5
sea,5
San,5
sky,5
suggest,5
car,5
center,5
downtown,5
moral,5
exhibition,5
galaxy,5
locate,5
visit,5
poll,5
room,5
heaven,5
paper,5
certainly,5
exactly,5
security,5
reform,5
tonight,5
HLN,5
SHOWBIZ,5
Republicans,5
variety,4
cell,4
old,4
complete,4
emphasize,4
morality,4
emerge,4
institution,4
New,4
Party,4
candidate,4
discuss,4
certain,4
contrary,4
topic,4
increase,4
status,4
insight,4
word,4
purely,4
William,4
save,4
relationship,4
previously,4
list,4
recreational,4
principle,4
furthermore,4
thinking,4
play,4
advocate,4
mysterious,4
endorse,4
genetic,4
demand,4
service,4
promote,4
half,4
Report,4
waste,4
procedure,4
character,4
develop,4
independent,4
feel,4
democratic,4
attribute,4
describe,4
second,4
recognize,4
catholic,4
claim,4
sense,4
lawyer,4
connection,4
plain,4
fit,4
maybe,4
concept,4
lose,4
Song,4
relation,4
diverse,4
sight,4
fantastic,4
real,4
easy,4
critic,4
eastern,4
progress,4
deserve,4
attention,4
tall,4
East,4
policymaker,4
difficult,4
regardless,4
draw,4
drift,4
examine,4
total,4
appropriate,4
objective,4
focus,4
curriculum,4
science,4
aspect,4
unfortunately,4
network,4
usually,4
north,4
major,4
sport,4
circumstance,4
solution,4
completely,4
democracy,4
foot,4
concern,4
wide,4
age,4
couple,4
book,4
job,4
close,4
abstract,4
moment,4
beach,4
surround,4
yeah,4
University,4
scientist,4
dim,4
creative,4
camera,4
land,4
Otherwise,4
flesh,4
wonder,4
expect,4
young,4
battle,4
review,4
big,4
friend,4
studio,4
exchange,4
deep,4
street,4
photograph,4
cut,4
shoulder,4
energy,4
tape,4
ahead,4
display,4
seat,4
percent,4
West,4
bear,4
Man,4
star,4
drive,4
update,4
icon,4
father,4
map,4
neutral,4
Trump,4
President,4
nominee,4
document,3
short,3
obtain,3
accurate,3
element,3
power,3
utilitarian,3
peasant,3
efficient,3
absolutely,3
factor,3
Times,3
supportive,3
May,3
private,3
symbol,3
user,3
vote,3
representative,3
defendant,3
Education,3
espouse,3
instruction,3
etc,3
quiet,3
head,3
assessment,3
summarize,3
finally,3
employer,3
build,3
gain,3
muslim,3
prism,3
agent,3
resource,3
act,3
unified,3
inform,3
Muslims,3
confidence,3
neighbor,3
Christian,3
decade,3
compare,3
finding,3
style,3
minimal,3
regulation,3
chief,3
interview,3
reaction,3
risk,3
establish,3
negatively,3
somewhat,3
basic,3
identify,3
potential,3
promise,3
expose,3
effort,3
Taiwan,3
natural,3
illustration,3
patient,3
happen,3
body,3
acquire,3
treat,3
crucial,3
EU,3
consist,3
novel,3
arrangement,3
refer,3
record,3
weight,3
partisan,3
relate,3
overall,3
coverage,3
determine,3
push,3
compete,3
multiple,3
source,3
press,3
greatly,3
behavior,3
Baude,3
judicial,3
recognition,3
ought,3
positive,3
method,3
material,3
challenge,3
embrace,3
deny,3
external,3
academic,3
Ronald,3
supra,3
quote,3
concede,3
equality,3
homosexuality,3
authority,3
serve,3
level,3
impact,3
european,3
produce,3
gather,3
script,3
Mead,3
rich,3
tie,3
floor,3
urban,3
encourage,3
strategy,3
resident,3
neighborhood,3
hill,3
publicly,3
danish,3
responsibility,3
hope,3
disseminate,3
personality,3
hide,3
radical,3
addition,3
water,3
narrative,3
line,3
business,3
educator,3
incorporate,3
direct,3
object,3
vague,3
river,3
interested,3
humanity,3
explore,3
writing,3
tool,3
mode,3
pair,3
fashion,3
music,3
fix,3
extend,3
mark,3
spectator,3
immediately,3
profile,3
restaurant,3
code,3
gender,3
voice,3
screen,3
digital,3
address,3
overhead,3
later,3
ship,3
amazing,3
design,3
observation,3
aerial,3
dinner,3
career,3
naive,3
population,3
objectively,3
odd,3
welcome,3
forum,3
secular,3
chance,3
entitle,3
viewer,3
incredible,3
wait,3
mom,3
voter,3
complex,3
pornography,3
breathtaking,3
protagonist,3
basically,3
type,3
ride,3
photo,3
gorgeous,3
bar,3
island,3
advantage,3
bathroom,3
Google,3
plus,3
sand,3
happy,3
opposing,3
penalty,3
tough,3
click,3
lens,3
decidedly,3
strong,3
insist,3
leader,3
Park,3
Paul,3
library,3
client,3
performance,3
Thomas,3
product,3
dollar,3
politic,3
combine,3
trade,3
religion,3
contain,3
board,3
bad,3
team,3
emotion,3
subscriber,3
yes,3
bay,3
door,3
bit,3
finish,3
Bay,3
hate,3
future,3
beautiful,3
pass,3
double,3
nice,3
target,3
television,3
file,3
animal,3
frontal,3
recently,3
universe,3
Clinton,3
low,3
Museum,3
ongoing,3
fund,3
visitor,3
Ray,3
black,3
thought,3
exercise,3
portfolio,3
intense,3
component,3
controversy,3
economist,3
American,3
admit,3
governor,3
gallery,3
food,3
worth,3
kid,3
statement,3
broad,3
Francisco,3
dog,3
player,3
miss,3
More,3
typical,3
late,3
browser,3
industry,3
articulate,3
Democrats,3
Secretary,3
spending,3
s,3
House,3
previous,3
Khmer,3
particularly,3
remote,3
Posner,3
output,3
Qing,3
insider,3
occur,2
intellectual,2
suicide,2
alter,2
b,2
instance,2
edit,2
repeatedly,2
rate,2
classical,2
bind,2
pursue,2
function,2
raw,2
ethic,2
warrior,2
technology,2
poor,2
obstacle,2
empirical,2
temperament,2
Canada,2
York,2
administer,2
mistakenly,2
technique,2
reveal,2
drama,2
intruder,2
mainstream,2
incident,2
juror,2
crime,2
Children,2
TED,2
continuum,2
language,2
establishment,2
means,2
error,2
contemporary,2
correctness,2
face,2
blue,2
enhance,2
limit,2
presentation,2
AP,2
detection,2
radiocapitellar,2
distinct,2
adoption,2
environment,2
track,2
version,2
Woman,2
participate,2
Illinois,2
agency,2
secularism,2
suspicion,2
dominate,2
discourse,2
accordance,2
Council,2
sympathetic,2
transfer,2
Teenek,2
interesting,2
administrative,2
theoretical,2
Christ,2
substance,2
relativistic,2
Most,2
archaeologist,2
reward,2
episode,2
interpretation,2
bank,2
fundamental,2
continuous,2
conference,2
et,2
al,2
textbook,2
position,2
creation,2
bubble,2
internet,2
valuable,2
vital,2
Andrea,2
independence,2
recipient,2
minute,2
romantic,2
sample,2
text,2
reading,2
assess,2
successful,2
treatment,2
Culture,2
magic,2
sorcery,2
west,2
primarily,2
migrant,2
deeply,2
sovereignty,2
channel,2
mechanism,2
politician,2
Foundation,2
purpose,2
aim,2
scale,2
arise,2
bias,2
honesty,2
agenda,2
setting,2
positively,2
associate,2
Anderson,2
contrast,2
widen,2
prior,2
repeat,2
election,2
evaluation,2
originalism,2
original,2
constitutional,2
distinguish,2
exact,2
secondary,2
founding,2
positivism,2
defense,2
Shapiro,2
blackstonian,2
elite,2
criticism,2
equal,2
remember,2
methodological,2
inherently,2
core,2
interpret,2
philosophical,2
Dworkin,2
sketch,2
class,2
explanation,2
Life,2
existence,2
adopt,2
suggestion,2
Raz,2
Nature,2
d,2
realist,2
Practice,2
marriage,2
receive,2
grave,2
affront,2
nominate,2
skeptical,2
scholarship,2
imperial,2
analyse,2
classic,2
constitute,2
realistic,2
enormous,2
London,2
lack,2
entry,2
jaundiced,2
native,2
tragedy,2
evolution,2
pyramid,2
Great,2
masse,2
define,2
pin,2
resistance,2
actor,2
local,2
fear,2
suppose,2
insult,2
wife,2
parallel,2
earning,2
Jews,2
athletic,2
satisfaction,2
Lindsay,2
truth,2
profession,2
transition,2
assert,2
strongly,2
Mexico,2
operation,2
State,2
informed,2
sharp,2
scientific,2
lie,2
firm,2
software,2
mankind,2
characterize,2
lay,2
reject,2
reductionist,2
Weinberg,2
Resnick,2
Steinberg,2
essentially,2
assumption,2
storage,2
epistemology,2
impossible,2
correspond,2
expert,2
awesome,2
solve,2
peer,2
passive,2
viewing,2
videodisc,2
English,2
spanish,2
Micario,2
lecture,2
interactive,2
isolation,2
primary,2
training,2
Reich,2
directly,2
hemisphere,2
lesson,2
Luba,2
pose,2
application,2
ancestor,2
paint,2
passion,2
expound,2
Ibsen,2
specific,2
outspoken,2
Zola,2
Manet,2
narrator,2
financial,2
forest,2
manifest,2
Comet,2
Jupiter,2
midnight,2
telescope,2
prove,2
electronic,2
return,2
fitness,2
huge,2
priority,2
cockpit,2
staff,2
stretch,2
site,2
spiritual,2
identity,2
winter,2
mix,2
south,2
deck,2
village,2
federal,2
merely,2
permanent,2
perpetuate,2
Microsoft,2
analytic,2
advertise,2
Apple,2
walk,2
terrorist,2
Tea,2
cover,2
obviously,2
tree,2
mechanical,2
useful,2
organization,2
western,2
central,2
sensitive,2
visible,2
gay,2
speculation,2
Equation,2
favor,2
employee,2
notice,2
considerable,2
gaze,2
achieve,2
subjective,2
ago,2
Johnson,2
exclusively,2
stop,2
danger,2
wow,2
decent,2
stunning,2
sunset,2
ceiling,2
golf,2
police,2
shake,2
closely,2
money,2
terrific,2
route,2
supporter,2
athlete,2
weather,2
willing,2
Mike,2
Adams,2
specifically,2
moderate,2
ego,2
extent,2
threaten,2
enact,2
Amanda,2
unfold,2
immigration,2
silence,2
utterly,2
crocodile,2
Joanne,2
specie,2
band,2
publish,2
April,2
reply,2
mentor,2
de,2
glance,2
faith,2
admire,2
average,2
moviegoer,2
October,2
package,2
Father,2
period,2
website,2
login,2
disappointment,2
daughter,2
ARCs,2
follower,2
RSS,2
consideration,2
shale,2
oil,2
Santa,2
pool,2
owner,2
town,2
elevated,2
tooth,2
residential,2
perfect,2
comfortable,2
obstruct,2
sit,2
pocket,2
stream,2
countryside,2
erect,2
dark,2
Next,2
naturalist,2
magnify,2
sharpen,2
daily,2
Bach,2
hove,2
uncompromising,2
Leo,2
frame,2
fresh,2
inch,2
sinful,2
oh,2
ok,2
terrace,2
dozen,2
wolf,2
sleek,2
nose,2
ordinary,2
Marks,2
manner,2
assume,2
knock,2
boy,2
curse,2
Mission,2
generation,2
dance,2
excellent,2
Author,2
mile,2
spot,2
casket,2
doubt,2
selection,2
Austin,2
improve,2
road,2
September,2
Art,2
tee,2
final,2
rockie,2
travel,2
landscape,2
World,2
Bill,2
executive,2
emperor,2
earth,2
Gallery,2
Dada,2
disk,2
astronomer,2
regularly,2
murder,2
strength,2
Matisse,2
stage,2
artistic,2
commit,2
key,2
pragmatic,2
notion,2
Moscow,2
signal,2
french,2
hip,2
club,2
customer,2
backwards,2
PHOTO,2
COLOR,2
portrait,2
NGC,2
office,2
atom,2
miniature,2
artist,2
backdrop,2
middle,2
legislator,2
union,2
Moche,2
currently,2
path,2
spouse,2
popularity,2
Editor,2
violation,2
harbor,2
Android,2
score,2
childish,2
fundamentally,2
mount,2
peak,2
cook,2
building,2
futurist,2
exhibit,2
Island,2
clarity,2
distort,2
spring,2
enthusiasm,2
formation,2
Christians,2
weak,2
cater,2
unpopular,2
Earth,2
passenger,2
agreement,2
growth,2
consumer,2
Netflix,2
sideline,2
Wednesday,2
lovely,2
victory,2
definitely,2
skyline,2
Jimmy,2
guest,2
seek,2
insofar,2
Russia,2
suspicious,2
yesterday,2
familiar,2
Pat,2
ally,2
distant,2
driver,2
Wagner,2
acknowledge,2
Iran,2
analyst,2
gun,2
harmful,2
date,2
em,2
sister,2
Alps,2
King,2
misunderstand,2
fail,2
capture,2
Professor,2
baseball,2
Kosovo,2
Sunday,2
free,2
advertisement,2
campaign,2
Nice,2
garden,2
fluke,2
meal,2
income,2
harden,2
populist,2
militant,2
installment,2
Arizona,2
arab,2
compelling,2
count,2
commonly,2
release,2
observer,2
republican,2
Correct,2
Michael,2
qwq,2
Governor,2
White,2
reach,2
increasingly,2
merit,2
Donald,2
Rouge,2
superior,2
HOLBROOKE,2
believe,2
committee,2
apply,2
management,2
eat,2
DONALDSON,2
prefer,2
thousand,2
pretty,2
sunny,2
easily,2
weigh,2
glass,2
roi,2
posner,2
drof,2
roll,2
labor,2
Administration,2
forever,2
Interdepartmental,2
Group,2
subliminal,2
verification,2
colorful,2
platform,2
Di,2
dialogue,2
uidevice,2
configure,2
addSubview,2
makekeyandvisible,2
folder,2
Drive,2
fun,2
Click,2
Sound,2
Details,2
background,2
Smothermon,2
logical,2
IA,2
unresolved,2
persona,2
lucky,2
construct,2
infographic,2
subscription,2
prose,1
inexplicably,1
profoundly,1
reconnect,1
pleomorphism,1
A,1
pleomorphic,1
spindle,1
monitoring,1
operator,1
Center,1
