Word,Frequency
I,1096
watch,144
like,125
tv,124
people,112
time,102
movie,102
know,90
video,71
want,69
think,68
come,66
sit,65
stand,60
right,60
television,59
man,57
game,51
day,51
look,51
year,45
night,44
film,44
tell,42
play,41
thing,38
hey,38
yeah,38
home,37
love,37
way,36
stop,34
friend,33
news,33
read,33
oh,33
hand,32
try,32
work,31
let,31
kid,30
guy,29
eye,28
child,27
turn,27
yes,27
eat,26
thank,26
closely,26
good,26
enjoy,26
feel,26
use,26
find,25
check,25
listen,25
away,25
leave,25
woman,24
old,24
grow,24
fun,24
program,23
talk,23
mean,23
walk,23
happen,22
great,22
okay,22
little,21
long,21
lot,21
car,21
life,20
minute,20
window,20
room,19
family,19
remember,19
head,19
hour,19
need,19
week,19
boy,18
close,18
hear,18
learn,18
face,18
father,18
stay,17
big,17
wait,17
change,16
actually,16
run,16
debate,16
team,16
maybe,16
place,16
fall,16
drive,16
girl,15
sign,15
sure,15
real,15
door,15
son,15
later,15
viewer,14
ask,14
pull,14
race,14
hold,14
pass,14
second,14
morning,14
bad,14
world,14
moment,13
start,13
new,13
weekend,13
area,13
month,13
step,13
street,13
mother,13
tonight,13
die,12
spend,12
outside,12
News,12
sister,12
help,12
ago,12
football,12
rest,12
season,12
Obama,12
pretty,12
live,12
today,12
wear,12
hope,12
book,12
table,12
bed,12
late,12
na,12
set,11
favorite,11
horror,11
begin,11
comment,11
carefully,11
audience,11
fight,11
course,11
return,11
drink,11
white,11
parent,11
young,11
couple,11
House,11
hard,11
wonder,11
sun,11
rise,11
God,11
wan,11
crowd,10
group,10
report,10
screen,10
tape,10
fan,10
free,10
bit,10
burn,10
case,10
unfold,10
million,10
end,10
school,10
pay,10
wife,10
action,10
glass,10
fucking,10
point,10
floor,10
light,10
sea,10
open,10
evening,10
laugh,10
house,10
President,10
foot,9
body,9
sound,9
People,9
sell,9
black,9
follow,9
soon,9
decide,9
country,9
player,9
stealer,9
american,9
afternoon,9
water,9
series,9
issue,9
able,9
local,9
catch,9
channel,9
instead,9
NEIL,9
high,9
line,9
plane,9
basketball,9
wave,8
finger,8
Fox,8
brother,8
act,8
fire,8
smile,8
Olympics,8
dance,8
miss,8
inside,8
slowly,8
daughter,8
early,8
sport,8
kind,8
commercial,8
half,8
deal,8
question,8
scene,8
reaction,8
phone,8
control,8
doctor,8
shit,8
climb,8
tree,8
small,8
worth,8
seat,8
number,8
bring,8
forget,8
Beth,8
state,8
different,8
neighborhood,8
booze,8
discussion,7
flood,7
suppose,7
suffer,7
language,7
effect,7
CNN,7
mind,7
cut,7
drama,7
draw,7
tomorrow,7
Washington,7
experience,7
clear,7
list,7
em,7
thousand,7
folk,7
notice,7
party,7
easy,7
throw,7
Johnson,7
campaign,7
sense,7
past,7
idea,7
break,7
tear,7
speech,7
nice,7
story,7
certain,7
entire,7
somebody,7
road,7
problem,7
reach,7
expect,7
baseball,7
wall,7
round,7
glance,7
slow,7
roll,7
match,7
toss,7
money,7
Neil,7
clock,7
student,7
Charlie,7
sorry,7
Jesus,7
death,7
welcome,7
shoot,7
require,7
everybody,7
Jones,7
Jon,7
kill,7
alright,7
grunt,7
bird,6
fly,6
simply,6
coverage,6
process,6
MTV,6
event,6
office,6
finish,6
American,6
NFL,6
mom,6
food,6
kitchen,6
vote,6
allow,6
terrorist,6
documentary,6
picture,6
nearly,6
piece,6
shake,6
image,6
short,6
funny,6
post,6
person,6
feed,6
driver,6
center,6
dinner,6
record,6
interview,6
hot,6
episode,6
Romney,6
stuff,6
hell,6
force,6
add,6
aware,6
boat,6
settle,6
box,6
sofa,6
truck,6
Saturday,6
baby,6
press,6
town,6
sink,6
newspaper,6
Miss,6
large,6
mouth,6
Mary,6
pick,6
study,6
fine,6
touch,6
sleep,6
forward,6
Kyle,6
got,6
hurt,6
prepare,6
swim,6
cartoon,6
anybody,6
King,6
Monday,6
Newcomers,6
John,6
rule,6
CBS,6
uh,6
page,6
land,5
World,5
interesting,5
scream,5
particular,5
Anderson,5
include,5
speak,5
buy,5
suit,5
Rolex,5
monitor,5
corner,5
development,5
single,5
particularly,5
form,5
situation,5
amazing,5
pool,5
approach,5
storm,5
cook,5
steal,5
public,5
job,5
blue,5
guess,5
matter,5
heart,5
beach,5
build,5
especially,5
election,5
candidate,5
figure,5
war,5
technology,5
president,5
adult,5
realize,5
ride,5
current,5
Joe,5
obvious,5
agree,5
hate,5
ready,5
performance,5
stream,5
float,5
answer,5
writing,5
important,5
word,5
pleasure,5
politic,5
continue,5
write,5
rock,5
music,5
church,5
fear,5
arm,5
drop,5
wine,5
gate,5
carry,5
sip,5
Alex,5
lead,5
fill,5
dark,5
dream,5
fascinate,5
beneath,5
Peter,5
appear,5
blood,5
asleep,5
hair,5
ahead,5
Austin,5
member,5
guard,5
fact,5
beautiful,5
Amber,5
blow,5
dvd,5
order,5
Jim,5
remain,5
sight,5
red,5
band,5
hit,5
dig,5
anymore,5
finally,5
recall,5
New,5
cry,5
special,5
Kelly,5
shot,5
golf,5
cable,5
decade,5
quietly,5
A,5
coach,5
freshman,5
P,5
understand,5
believe,5
ah,5
boring,5
cause,5
straight,5
Sabrina,5
volunteer,5
porch,4
visitor,4
behave,4
calm,4
cold,4
gather,4
voice,4
n,4
Cooper,4
level,4
specific,4
size,4
city,4
design,4
ground,4
speed,4
feeling,4
State,4
strike,4
final,4
official,4
choose,4
NBA,4
practice,4
beat,4
cup,4
government,4
ok,4
silently,4
footage,4
definitely,4
couch,4
conversation,4
admit,4
clip,4
share,4
presidential,4
reason,4
field,4
base,4
d,4
cover,4
present,4
attack,4
fish,4
exercise,4
chest,4
expression,4
http,4
horrible,4
Friday,4
owner,4
club,4
Video,4
wrong,4
Sunday,4
sort,4
happy,4
treat,4
s,4
explain,4
America,4
middle,4
value,4
waste,4
bag,4
combination,4
crew,4
online,4
Congress,4
tune,4
far,4
paint,4
evolve,4
intently,4
Andy,4
search,4
clerk,4
sneak,4
neck,4
coffee,4
kiss,4
neighbor,4
White,4
hang,4
careful,4
gardener,4
earth,4
usually,4
star,4
stick,4
traffic,4
green,4
Street,4
develop,4
wind,4
cloud,4
tiny,4
Pandora,4
swing,4
silence,4
advertisement,4
Virginia,4
reality,4
Hanna,4
breakfast,4
HANNA,4
union,4
power,4
date,4
college,4
sideline,4
throat,4
iron,4
parade,4
chair,4
sunset,4
queen,4
snow,4
nature,4
gold,4
imagine,4
teach,4
join,4
Brenda,4
Oscar,4
soldier,4
shoe,4
Garba,4
punch,4
naked,4
Tal,4
fuck,4
progress,4
Mark,4
announce,4
tired,4
history,4
X,4
operation,4
cross,4
Louis,4
dad,4
version,4
lose,4
intake,4
care,4
broadcast,4
ABC,4
poor,4
bear,4
Rick,4
tooth,4
meet,4
copy,4
train,4
camera,4
shoulder,4
Mike,4
husband,4
newcomer,4
joy,4
Life,4
create,4
difficult,4
police,4
ad,4
destroy,4
erupt,4
sex,4
m,4
NBC,4
torture,4
ow,4
sir,4
Hunters,4
Police,4
HGTV,4
AVR,4
DTS,4
audio,4
equipment,4
connect,4
PCM,4
user,4
Damon,4
sing,3
Daily,3
nation,3
dawn,3
Rome,3
teacher,3
examine,3
significant,3
medium,3
respondent,3
political,3
instruction,3
shop,3
combine,3
button,3
download,3
tall,3
wonderful,3
position,3
wow,3
succeed,3
shadow,3
rub,3
specifically,3
launch,3
sad,3
lock,3
Google,3
cell,3
possible,3
Allison,3
section,3
content,3
Show,3
weekly,3
ESPN,3
information,3
celebrity,3
warrior,3
puzzle,3
theater,3
review,3
Moon,3
horse,3
win,3
Europe,3
ritual,3
reporter,3
smell,3
National,3
touchdown,3
bar,3
blame,3
passively,3
Jeff,3
county,3
expose,3
Max,3
slightly,3
effort,3
cycle,3
envy,3
damn,3
pop,3
drag,3
dust,3
marry,3
Lee,3
portion,3
pant,3
Woman,3
lawn,3
Day,3
animate,3
terrible,3
worry,3
James,3
tongue,3
involve,3
Good,3
shower,3
instantly,3
network,3
cap,3
profession,3
trailer,3
porn,3
thoughtful,3
paper,3
bleed,3
apart,3
age,3
medical,3
perform,3
Atlanta,3
raise,3
mad,3
improve,3
tower,3
shitty,3
Paul,3
dog,3
appreciate,3
soap,3
gradually,3
drill,3
drip,3
leg,3
funeral,3
Celestine,3
crystal,3
disappear,3
suck,3
garden,3
Julie,3
Bonnie,3
emerge,3
gently,3
wheel,3
smart,3
lip,3
opposite,3
pink,3
edge,3
slide,3
rich,3
guilty,3
ocean,3
Jay,3
send,3
Mama,3
flame,3
wake,3
bridge,3
pair,3
Kennedy,3
Manning,3
Paula,3
TV,3
fast,3
excited,3
emotion,3
stumble,3
officer,3
undo,3
t,3
pause,3
Edmund,3
oil,3
provide,3
tea,3
dress,3
ON,3
attention,3
sweat,3
customer,3
hospital,3
EVIL,3
curtain,3
ice,3
fascination,3
Jack,3
service,3
Minutes,3
sky,3
Delmer,3
cool,3
Big,3
bush,3
determine,3
Lemuel,3
Betty,3
brain,3
aim,3
increase,3
goose,3
Watch,3
exchange,3
block,3
pride,3
hill,3
Vi,3
stare,3
Little,3
stink,3
telephone,3
Daniel,3
ass,3
filter,3
windshield,3
scenario,3
gaze,3
length,3
dry,3
Larson,3
count,3
circle,3
Carrie,3
Jane,3
mile,3
board,3
Lem,3
fascinating,3
soccer,3
jacket,3
track,3
Center,3
key,3
ring,3
passenger,3
expensive,3
miracle,3
deeply,3
differently,3
Roi,3
Rothschild,3
bathroom,3
Narrator,3
bounce,3
march,3
wrap,3
desk,3
youngster,3
camp,3
secret,3
alarm,3
perfect,3
flash,3
system,3
constantly,3
Kali,3
Kathie,3
rating,3
Mason,3
ankle,3
evangelist,3
Tom,3
pocket,3
fellow,3
bury,3
schedule,3
ball,3
actual,3
loyal,3
Donna,3
favor,3
weight,3
arrive,3
Christ,3
Michael,3
homework,3
law,3
novel,3
tournament,3
pill,3
enable,3
movement,3
Carolina,3
recently,3
industry,3
East,3
Lyndon,3
convince,3
wedding,3
Game,3
main,3
Kristin,3
detective,3
navigate,3
attorney,3
hug,3
Clinton,3
murder,3
crime,3
Trump,3
bore,3
Cross,3
heavy,3
Jackie,3
likely,3
true,3
major,3
japanese,3
replay,3
Los,3
Angeles,3
career,3
judge,3
reading,3
Amy,3
Jimmy,3
rerun,3
battle,3
rbi,3
C,3
Outlook,3
teammate,3
Florida,3
Japan,3
Barbara,3
beer,3
Japanese,3
George,3
recover,3
occasionally,3
standard,3
visit,3
States,3
result,3
Read,3
Iowa,3
Zack,3
weather,3
trip,3
SATURDAY,3
Eliot,3
Spitzer,3
Bill,3
stranger,3
lady,3
ve,3
Frank,3
Red,3
warning,3
January,3
tough,3
advance,3
Team,3
normal,3
deepwater,3
HORIZON,3
Dwight,3
chance,3
witness,3
probably,3
peace,3
truly,3
ghost,3
First,3
faggot,3
daddy,3
lie,3
joke,3
Oprah,3
Kol,3
Shit,3
Mr,3
Shh,3
Ohh,3
ya,3
Eddie,3
Move,3
whoa,3
mileswhimpere,3
SCREAMS,3
delete,3
quick,3
ref,3
percent,3
masterpiece,3
recommend,3
receive,3
forest,2
Mississippi,2
River,2
onlooker,2
offer,2
clue,2
Trade,2
summer,2
solstice,2
curious,2
sunrise,2
knock,2
survive,2
ecstasy,2
thunder,2
Sorry,2
boss,2
describe,2
focus,2
Nightly,2
attitude,2
regularly,2
measure,2
separately,2
Attribute,2
Special,2
oppose,2
gift,2
relate,2
mode,2
apartment,2
Hollywood,2
collect,2
modern,2
await,2
Lindsay,2
whisper,2
Chief,2
Justice,2
separate,2
childhood,2
note,2
character,2
highly,2
chimp,2
tourist,2
awe,2
speaker,2
session,2
incredible,2
client,2
soar,2
Network,2
example,2
asian,2
cat,2
spot,2
unfortunately,2
recent,2
London,2
purpose,2
Coast,2
teen,2
datum,2
Old,2
wary,2
moon,2
leftist,2
security,2
wish,2
Justin,2
FBI,2
accuse,2
article,2
tablet,2
unit,2
HBO,2
mirror,2
County,2
delight,2
Nora,2
leader,2
south,2
meeting,2
trial,2
helpless,2
Phil,2
TVG,2
ancient,2
futuristic,2
friendship,2
lecture,2
rush,2
birthday,2
score,2
repair,2
forever,2
Andre,2
Mickey,2
remake,2
More,2
trend,2
fuel,2
anger,2
Avengers,2
magazine,2
gnaw,2
YouTube,2
lately,2
Dog,2
suggest,2
sidewalk,2
Wells,2
etc,2
marriage,2
ton,2
firework,2
marvel,2
strength,2
Edison,2
Xmen,2
comic_strip,2
vogue,2
Dark,2
Downton,2
Abbey,2
Africa,2
Wilson,2
Wrath,2
painful,2
complain,2
Grey,2
remote,2
Calzona,2
Arizona,2
shame,2
convention,2
support,2
statement,2
Faux,2
o,2
sicken,2
campus,2
computer,2
lift,2
private,2
pitch,2
honestly,2
ms,2
reel,2
bother,2
actor,2
Morgan,2
evolution,2
hoot,2
McDaniels,2
aside,2
fund,2
storytelling,2
Department,2
skill,2
collapse,2
annoying,2
studio,2
anonymous,2
click,2
link,2
Twitter,2
authority,2
visceral,2
cautiously,2
Houston,2
french,2
staff,2
vacate,2
pen,2
meditate,2
human,2
wild,2
bond,2
fiction,2
generation,2
confidence,2
restore,2
Steve,2
ill,2
analyze,2
cemetery,2
air,2
lover,2
nod,2
juror,2
court,2
bench,2
wet,2
scatter,2
building,2
curve,2
flower,2
Clara,2
Thule,2
hide,2
Vienna,2
yellow,2
basket,2
soup,2
generally,2
usual,2
babysitter,2
hurriedly,2
bend,2
deep,2
gull,2
downtown,2
awake,2
bank,2
Adams,2
plank,2
Leo,2
slope,2
struggle,2
bell,2
shore,2
distant,2
marvelous,2
Winter,2
Benjy,2
Ace,2
accustom,2
dive,2
Third,2
Anthony,2
Rubin,2
shirt,2
bottle,2
Lake,2
soda,2
Jerome,2
bubble,2
company,2
dot,2
tie,2
tub,2
lean,2
bat,2
belt,2
pee,2
cheese,2
tick,2
squeeze,2
rip,2
pond,2
blink,2
Dora,2
stair,2
Peg,2
jewelry,2
mentally,2
corps,2
expectantly,2
snake,2
tail,2
till,2
muscle,2
Molly,2
warily,2
assign,2
suspicious,2
plenty,2
e,2
handsome,2
mark,2
pour,2
majestic,2
load,2
diamond,2
haste,2
evidence,2
Grandma,2
swirl,2
JUSTINE,2
DAY,2
Time,2
Waingro,2
WAINGRO,2
alley,2
disgust,2
Ten,2
Nine,2
goin,2
dancer,2
radio,2
cliff,2
Look,2
convert,2
strain,2
AUSTIN,2
syphilis,2
DR,2
shout,2
Stella,2
Katy,2
cream,2
frown,2
playing,2
toast,2
doubt,2
Marla,2
trickle,2
Bach,2
remind,2
prefer,2
fur,2
property,2
temper,2
oak,2
soak,2
admire,2
distractedly,2
poison,2
Ma,2
Cassie,2
Barnett,2
excuse,2
low,2
apparently,2
ear,2
Grade,2
Priscilla,2
granddaughter,2
choice,2
thief,2
alcove,2
Dave,2
angle,2
footstep,2
path,2
pain,2
silent,2
retreat,2
wane,2
boundary,2
scent,2
dip,2
glow,2
smoke,2
drift,2
wrist,2
Star,2
fender,2
blind,2
avoid,2
alive,2
bone,2
pale,2
Garvey,2
Main,2
Grand,2
flight,2
coat,2
respond,2
discover,2
