Word,Frequency
I,118
stand,23
know,17
bear,14
expert,14
time,12
year,11
program,11
come,11
God,11
court,10
hand,10
statement,10
evidence,10
prosecution,10
man,9
lie,9
case,9
trial,9
hear,8
event,8
testify,8
want,8
tell,8
look,8
right,8
provide,8
list,8
testimony,8
act,7
person,7
juror,7
leave,7
process,7
like,7
chair,7
mean,7
police,7
key,7
family,7
believe,7
mother,6
work,6
people,6
live,6
swear,6
question,6
actually,6
suspect,6
crime,6
attack,6
ask,6
use,6
friend,6
witness,6
report,6
protection,6
Jehovah,6
large,5
today,5
New,5
begin,5
change,5
allow,5
state,5
later,5
fact,5
box,5
prosecutor,5
young,5
long,5
include,5
accord,5
character,5
talk,5
yeah,5
refuse,5
account,4
reach,4
base,4
judge,4
child,4
moment,4
scene,4
lawyer,4
examine,4
behavior,4
personally,4
history,4
plaintiff,4
point,4
number,4
happen,4
carry,4
Mary,4
Pleasant,4
murder,4
world,4
death,4
sure,4
tamper,4
bag,4
try,4
hearing,4
prepare,4
defense,4
kill,4
federal,4
present,3
defendant,3
week,3
opportunity,3
firsthand,3
result,3
start,3
major,3
new,3
Cairo,3
important,3
require,3
opinion,3
thing,3
engagement,3
think,3
cause,3
false,3
site,3
feel,3
need,3
experience,3
thank,3
congressional,3
store,3
chance,3
bring,3
example,3
White,3
cut,3
party,3
yes,3
appear,3
receive,3
coach,3
careful,3
turn,3
door,3
car,3
die,3
Hunter,3
wait,3
assailant,3
folk,3
Marina,3
truth,3
close,3
till,3
hearsay,3
principal,3
prove,3
Bell,3
powerful,3
government,3
star,3
extraordinary,3
day,3
ago,3
grant,3
member,3
describe,3
serve,3
claim,3
horror,3
wear,3
story,3
open,3
maybe,3
wife,3
husband,3
inside,3
jury,3
different,3
canning,3
voiceover,3
produce,3
watch,3
Parks,2
read,2
interview,2
ground,2
aftermath,2
dead,2
note,2
escape,2
national,2
support,2
direct,2
student,2
Century,2
colonial,2
system,2
global,2
nature,2
historical,2
massive,2
decade,2
return,2
period,2
transformation,2
prevent,2
abstract,2
era,2
practice,2
notice,2
entrance,2
security,2
technology,2
fear,2
rapid,2
particularly,2
mall,2
century,2
dramatic,2
political,2
unforeseen,2
eliminate,2
perjury,2
inference,2
exist,2
vulnerable,2
presence,2
consider,2
conclude,2
release,2
near,2
situation,2
usually,2
pedestrian,2
check,2
suspicious,2
intend,2
personal,2
resident,2
countless,2
course,2
sort,2
cloud,2
voter,2
cross,2
follow,2
round,2
privilege,2
beat,2
line,2
weigh,2
horrify,2
possibly,2
complex,2
circuit,2
carnage,2
corroborate,2
past,2
kind,2
intimidation,2
great,2
civic,2
participation,2
answer,2
good,2
surprised,2
difficult,2
feeling,2
contemporary,2
steal,2
grow,2
seat,2
piece,2
boy,2
York,2
ready,2
girl,2
school,2
Judge,2
Lippincott,2
multiple,2
hot,2
strike,2
touch,2
recall,2
neighbor,2
game,2
certain,2
care,2
word,2
examination,2
end,2
Ellen,2
attorney,2
offer,2
competent,2
Teresa,2
quote,2
charge,2
regularly,2
weak,2
chase,2
fellow,2
visit,2
church,2
marriage,2
confront,2
limit,2
faith,2
life,2
regular,2
human,2
gather,2
Post,2
find,2
second,2
author,2
numerous,2
phenomenon,2
distress,2
May,2
trip,2
Palestine,2
Liberation,2
Organization,2
chief,2
Yasser,2
modern,2
clear,2
legal,2
celebrate,2
ministry,2
accident,2
potential,2
Simpson,2
Resnick,2
victim,2
lot,2
positive,2
sale,2
frame,2
reveal,2
Netscape,2
argument,2
indictment,2
forward,2
privacy,2
Denver,2
enter,2
public,2
United,2
sport,2
fill,2
team,2
dozen,2
Thursday,2
clunky,2
item,2
Crowe,2
fan,2
immunity,2
corroborator,2
fighting,2
abuse,2
father,2
Hail,2
individual,2
lawfully,2
wed,2
forsake,2
crash,2
recount,2
motive,2
order,2
Ben,2
ANDREA,2
remember,2
develop,2
investigation,2
hesitate,2
credible,2
allege,2
subpoena,2
President,2
possibility,2
write,2
MILTON,2
hard,2
far,2
trust,2
television,2
Kim,2
let,2
form,2
baby,2
guy,2
unable,2
face,2
eye,2
Mr,2
Antonelli,2
theatre,2
action,2
cost,2
heaven,2
knowledge,2
compulsory,2
Flash,2
book,2
courage,1
Leona,1
McCauley,1
biographical,1
material,1
conclusion,1
deliberate,1
perform,1
active,1
faithful,1
community,1
uncommon,1
violation,1
violent,1
combat,1
wound,1
personnel,1
influence,1
sentencing,1
specialist,1
questioning,1
taking,1
demeanor,1
resultant,1
interaction,1
humanize,1
December,1
Savannah,1
slightly,1
comical,1
sight,1
pair,1
silent,1
passive,1
priestess,1
labor,1
legislation,1
radical,1
integration,1
pervasive,1
brand,1
consciousness,1
staff,1
Lerner,1
et,1
chinese,1
spectator,1
tempting,1
Middle,1
Twentieth,1
destruction,1
occur,1
amid,1
Beijing,1
additional,1
aid,1
Papua,1
Swidler,1
able,1
survey,1
dialogue,1
affair,1
Beninois,1
Expulsion,1
influx,1
foreign,1
exiled,1
MORENA,1
disability,1
rarely,1
West,1
economic,1
consequence,1
fevere,1
quest,1
exotic,1
harvest,1
unsustainable,1
tree,1
Brockway,1
Moreover,1
British,1
India,1
malarial,1
mortality,1
missionary,1
indian,1
agent,1
predominantly,1
monument,1
Analysis,1
postcolonial,1
metropolis,1
construction,1
characteristic,1
outlet,1
veritable,1
mushrooming,1
twentieth,1
Giza,1
local,1
italian,1
architect,1
saltational,1
leaps,1
internet,1
leap,1
theft,1
ugly,1
campus,1
Sixth,1
Amendment,1
american,1
swiftly,1
affirm,1
risk,1
restrict,1
chary,1
standard,1
Standards,1
Northeast,1
conception,1
integrate,1
Alexandria,1
Moffitt,1
crucial,1
especially,1
female,1
Associates,1
Portland,1
Maine,1
whichever,1
Bennett,1
ABA,1
buttock,1
immediate,1
seminar,1
scourge,1
Montevideo,1
vehement,1
previously,1
NAACP,1
birth,1
cry,1
miss,1
underline,1
generation,1
oppression,1
unjust,1
identify,1
angry,1
racist,1
containment,1
civilian,1
unreasonable,1
listen,1
specific,1
insufficient,1
basis,1
sorry,1
indirect,1
effect,1
airplane,1
original,1
March,1
More,1
investigator,1
solar,1
min,1
unraveling,1
band,1
kindness,1
appreciate,1
Biden,1
mascot,1
making,1
missile,1
hit,1
edge,1
cheer,1
domestic,1
policy,1
decision,1
premeditate,1
suppression,1
Democrat,1
Republican,1
Wisconsin,1
capitol,1
pay,1
legislature,1
budget,1
negotiation,1
silicone,1
asbestos,1
Horse,1
Lake,1
curve,1
bend,1
thread,1
FEEL,1
Father,1
Heaven,1
rule,1
pig,1
killing,1
eclectic,1
Dick,1
Morris,1
commit,1
hilarious,1
song,1
parody,1
elf,1
ballet,1
dance,1
split,1
term,1
pretend,1
dog,1
gang,1
shooting,1
realize,1
